id,created_at,slug,name,remote_category
871,2013-07-11 03:14:14.000000,aulas/concursos/portugues,Aulas de Português para Concursos,false
875,2013-07-11 03:14:17.000000,aulas/concursos/matematica/remoto,Aulas de Matemática para Concursos,true
879,2013-07-11 03:14:21.000000,aulas/concursos/direito/presencial,Aulas de Direito para Concursos,false
883,2013-07-11 03:14:24.000000,aulas/concursos/administracao,Aulas de Administração para Concursos,false
903,2013-08-01 03:10:56.000000,eventos/bartenders,Bartenders,false
907,2013-08-01 03:10:59.000000,moda-e-beleza/depilacao,Depiladoras,false
912,2013-08-01 03:11:48.000000,design-e-tecnologia/producao-grafica,Especialistas em Produção Gráfica,false
916,2013-08-14 23:48:29.000000,eventos/animacao-de-festas/magico,Mágicos,false
920,2013-08-14 23:48:34.000000,eventos/animacao-de-festas/pintura-artistica,Pintores Artística,false
925,2013-08-14 23:51:45.000000,eventos/garcons-e-copeiras/outros,Garçons,false
930,2013-08-16 03:41:14.000000,eventos/buffet-completo/corporativo,Buffets,false
934,2013-08-16 03:47:18.000000,eventos/buffet-completo/casamento/somente-espaco,Buffets,false
938,2013-08-16 03:52:23.000000,eventos/decoracao/casamento,Decoradoras de Casamento,false
942,2013-08-16 03:54:35.000000,eventos/buffet-completo/formatura/espaco-e-comida,Buffets,false
946,2013-08-16 03:57:03.000000,eventos/fotografia/book-fotografico,Fotógrafos para Book,false
950,2013-08-16 20:42:30.000000,eventos/bandas-e-cantores/bandas-e-cantores,Bandas e DJs,false
954,2013-08-20 15:06:27.000000,design-e-tecnologia/audio-e-video/gravacao-de-audio,Gravação de Áudio,false
959,2013-10-25 19:57:51.000000,assistencia-tecnica/fogao-e-cooktop/mueller,Assistências Técnicas para Fogão e Cooktop Mueller,false
963,2013-10-27 05:28:58.000000,assistencia-tecnica/impressora/zebra,Assistências Técnicas para Impressora Zebra,false
968,2014-01-17 17:04:24.000000,reformas-e-reparos/jardinagem,Jardineiros,false
972,2014-07-02 22:40:35.000000,aulas/idiomas/portugues/remoto,Professores de Português,true
977,2014-07-21 18:36:13.000000,reformas-e-reparos/pedreiro/pisos-e-revestimentos,Pedreiro para pisos e revestimentos,false
981,2014-09-10 21:40:24.000000,assistencia-tecnica/eletrodomesticos/philips-walita,Assistências Técnicas para Eletrodomésticos Philips Walita,false
985,2014-10-16 23:30:19.000000,saude/nutricionista,Nutricionistas,false
989,2014-10-16 23:42:40.000000,consultoria/advogado/civil,Advogados de Direito Civil,false
993,2014-10-16 23:52:40.000000,consultoria/advogado/criminal,Advogados de Direito Criminal,false
997,2014-10-31 17:56:38.000000,familia/motorista/carro,Motoristas,false
1001,2014-11-18 21:36:37.000000,assistencia-tecnica/aparelho-de-som/aiwa/dentro-da-garantia,Assistências Técnicas para Aparelho de Som Aiwa,false
1005,2014-11-18 21:36:40.000000,assistencia-tecnica/ar-condicionado/electrolux/dentro-da-garantia,Assistências Técnicas para Ar Condicionado Electrolux,false
1009,2014-11-18 21:36:40.000000,assistencia-tecnica/ar-condicionado/lg/dentro-da-garantia,Assistências Técnicas para Ar Condicionado LG,false
1013,2014-11-18 21:36:40.000000,assistencia-tecnica/celular/apple/dentro-da-garantia,Assistências Técnicas para Celular Apple,false
1017,2014-11-18 21:36:41.000000,assistencia-tecnica/celular/nokia/dentro-da-garantia,Assistências Técnicas para Celular Nokia,false
1021,2014-11-18 21:36:41.000000,assistencia-tecnica/computador-desktop/hp/dentro-da-garantia,Assistências Técnicas para Computador Hp,false
1025,2014-11-18 21:36:41.000000,assistencia-tecnica/eletrodomesticos/brastemp/dentro-da-garantia,Assistências Técnicas para Eletrodomésticos Brastemp,false
1029,2014-11-18 21:36:41.000000,assistencia-tecnica/fogao-e-cooktop/continental/dentro-da-garantia,Assistências Técnicas para Fogão e Cooktop Continental,false
