id,request_id,city,uf,neighborhood,latitude,longitude
7381090,6021825,Lagoa do Carro,PE,,-7.844248,-35.3111011
7381094,6021829,São Paulo,SP,,-23.6269321373865,-46.6353750228882
7381298,6022003,São Paulo,SP,Jardim Castro Alves,-23.5505199,-46.6333094
7381378,6022072,São Paulo,SP,Jardim Mitsutani,-23.6467649,-46.7803361
7381490,6022162,São Paulo,SP,Vila Mariana,-23.5779098,-46.6389692
7381598,6022258,Francisco Morato,SP,Jardim Bandeirantes,-23.2824507,-46.7607765
7382098,6022670,Brasília,DF,Cruzeiro Novo,-15.9620579,-47.8219649
7382270,6022806,Rio de Janeiro,RJ,Vila Kosmos,-22.8553963,-43.3084222
7382330,6022859,Osasco,SP,Presidente Altino,-23.5263536,-46.768108
7382454,6022958,Osasco,SP,,-23.4976451497887,-46.7915473133326
7382466,6022963,Santos,SP,Bom Retiro,-23.9359092,-46.3736219
7382726,6023182,Suzano,SP,,-23.54532079217,-46.3116250187159
7382750,6023202,São Paulo,SP,Jardim Três Corações,-23.7693449,-46.6837342
7382886,6023318,Salvador,BA,Armação,-12.9819038,-38.4409023
7383198,6023599,Maracanaú,CE,Jaçanaú,-3.8426417,-38.6421913
7383230,6023625,Maceió,AL,Vergel do Lago,-9.6567043,-35.7620708
7383494,6023870,São Paulo,SP,,-23.6219724537665,-46.6305061429739
7383566,6023937,Ananindeua,PA,Icuí-Guajará,-1.324714,-48.399834
7383662,6024016,Niterói,RJ,Icaraí,-22.9067035,-43.1099624
7383842,6024165,Rio de Janeiro,RJ,Anchieta,-22.8269351,-43.3932624
7383926,6024234,Campinas,SP,Jardim do Trevo,-22.9307583,-47.0695517
7383942,6024250,São Paulo,SP,Ipiranga,-23.5860087,-46.6064623
7383986,6024288,Maceió,AL,Santa Amélia,-9.5915357,-35.7720754
7384002,6024303,Brasília,DF,Setor Habitacional Vicente Pires,-15.803049,-48.037555
7384010,6024310,São Paulo,SP,Vila Pompéia,-23.5375326,-46.6872717
7384202,6024481,Taubaté,SP,São Gonçalo,-23.0544956,-45.5797348
7384226,6024504,Cotia,SP,,-23.6026682635852,-46.9194692373276
7384238,6024515,Itaquaquecetuba,SP,Jardim Caiubi,-23.4404199,-46.318561
7384290,6024559,Goiânia,GO,Condomínio das Esmeraldas,-16.7858247,-49.3587682
7384318,6024587,São Paulo,SP,Vila Buarque,-23.5448055,-46.6489263
7384342,6024609,Porto Alegre,RS,Rubem Berta,-30.0208273,-51.1037569
7384858,6025042,Belo Horizonte,MG,,-19.9142007306913,-43.8943951204419
7384870,6025052,Osasco,SP,Jardim D'Abril,-23.5650236,-46.7781329
7384910,6025090,São Leopoldo,RS,Jardim América,-29.7862613,-51.1277584
7384918,6025096,Itajaí,SC,Fazenda,-26.9201329,-48.6519497
7385202,6025351,Contagem,MG,Cabral,-19.8796602,-44.041119
7385262,6025403,Manaus,AM,São Jorge,-3.1076222,-60.0387102
7385578,6025686,São Paulo,SP,Vila Guilhermina,-23.5335928,-46.5147942
7385690,6025778,Porto Alegre,RS,Cavalhada,-30.1143929,-51.2262059
7385910,6025960,São Paulo,SP,Água Branca,-23.5169814,-46.6902045
7385914,6025963,Santo André,SP,Parque das Nações,-23.6343938,-46.5297458
7385934,6025980,Campinas,SP,Vila Nogueira,-22.8703835,-47.0413071
7386034,6026066,Belo Horizonte,MG,Urca,-19.8713663,-44.0155164
